Cod_setor;tipo.x;bairro;distrito;municipio.x;area.km²;prop_mata;prop_HAND;prop_imper;CLAS_VUL.y;prop_cultivo;prop_pastagem;q_prop_mata;q_prop_imper;q_prop_HAND;Usos.Assoc;Susc;Susc.n;q_prop_cultivo;q_prop_pastagem;VulSoeAm;VulSoeAm.n
310310805000001;URBANO;NA;ANTÃ”NIO PRADO DE MINAS;ANTÃ”NIO PRADO DE MINAS;0.13701793;0.04544829;0.3141456;0.45964028;2;0;0;3;2;1;5;6;2;NA;NA;4;2
310310805000002;URBANO;NA;ANTÃ”NIO PRADO DE MINAS;ANTÃ”NIO PRADO DE MINAS;0.29752627;0;0.58311758;0.22964544;1;0;0;1;3;2;4;6;2;NA;NA;3;1
310310805000005;URBANO;NA;ANTÃ”NIO PRADO DE MINAS;ANTÃ”NIO PRADO DE MINAS;0.04433224;0;0.99364278;1;2;0;0;1;1;3;2;5;1;NA;NA;3;1
310550905000001;URBANO;NA;BARÃƒO DE MONTE ALTO;BARÃƒO DE MONTE ALTO;0.28291685;0;0.49518761;0.18901416;2;0;0;1;3;3;4;7;3;NA;NA;5;3
310550905000002;URBANO;NA;BARÃƒO DE MONTE ALTO;BARÃƒO DE MONTE ALTO;0.11872386;0;0.15829741;0.33037167;2;0;0;1;2;1;3;4;1;NA;NA;3;1
310550905000006;URBANO;NA;BARÃƒO DE MONTE ALTO;BARÃƒO DE MONTE ALTO;0.25826174;0;0.21658861;0.3094113;1;0;0;1;2;2;3;5;1;NA;NA;2;1
310550905000007;URBANO;NA;BARÃƒO DE MONTE ALTO;BARÃƒO DE MONTE ALTO;0.0811622;0;0.11291241;0.37423172;1;0;0;1;1;1;2;3;1;NA;NA;2;1
310550910000001;URBANO;NA;CACHOEIRA ALEGRE;BARÃƒO DE MONTE ALTO;0.35546215;0;0.3557621;0.30840656;2;0;0;1;2;2;3;5;1;NA;NA;3;1
310550910000002;URBANO;NA;CACHOEIRA ALEGRE;BARÃƒO DE MONTE ALTO;0.17142043;0;0.42195134;0.30312869;3;0;0;1;3;2;4;6;2;NA;NA;5;3
310550910000003;URBANO;NA;CACHOEIRA ALEGRE;BARÃƒO DE MONTE ALTO;0.21474417;0.05636642;0.46467869;0.34930545;2;0;0;3;1;2;4;6;2;NA;NA;4;2
310550915000001;URBANO;NA;SILVEIRA CARVALHO;BARÃƒO DE MONTE ALTO;0.23208204;4.839e-5;0.99938233;0.32950861;2;0;0;3;2;3;5;8;3;NA;NA;5;3
311330505000001;URBANO;Centro;CARANGOLA;CARANGOLA;0.12692635;0;0.94963701;1;1;0;0;1;2;3;3;6;2;NA;NA;3;1
311330505000002;URBANO;Centro;CARANGOLA;CARANGOLA;0.13846886;0.00161177;0.26340356;0.46413208;3;0;0;2;2;2;4;6;2;NA;NA;5;3
311330505000003;URBANO;Centro;CARANGOLA;CARANGOLA;0.05792729;0;0.13743194;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
311330505000004;URBANO;Centro;CARANGOLA;CARANGOLA;0.44483339;0.10444182;0.05162922;0.31393014;3;0;0;3;3;1;6;7;3;NA;NA;6;3
311330505000005;URBANO;Centro;CARANGOLA;CARANGOLA;0.09760565;0.11659428;0.80519642;0.85007681;3;0;0;3;2;3;5;8;3;NA;NA;6;3
311330505000006;URBANO;Coroado;CARANGOLA;CARANGOLA;0.30515756;0.04005616;0.16802363;0.4933768;1;0;0;3;2;2;5;7;3;NA;NA;4;2
311330505000007;URBANO;Eldorado;CARANGOLA;CARANGOLA;0.04641438;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
311330505000008;URBANO;Eldorado;CARANGOLA;CARANGOLA;0.06904382;0;0.1917336;0.99969642;2;0;0;1;2;2;3;5;1;NA;NA;3;1
311330505000009;URBANO;Aeroporto;CARANGOLA;CARANGOLA;0.11029236;0;0.00185589;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
311330505000010;URBANO;Aeroporto;CARANGOLA;CARANGOLA;0.04731163;0.09638751;0;0.68012495;1;0;0;3;2;1;5;6;2;NA;NA;3;1
311330505000011;URBANO;Santa EmÃ­lia;CARANGOLA;CARANGOLA;0.24670672;0;0.86792743000000006;0.92821902;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330505000012;URBANO;Floresta;CARANGOLA;CARANGOLA;0.10045033;0.21661064;0.50190049;0.14077485;2;0;0;3;3;2;6;8;3;NA;NA;5;3
311330505000013;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.07427969;0;0.96850754;0.70582416;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330505000014;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.13920262;0;0.12355055;0.31132503;2;0;0;1;3;2;4;6;2;NA;NA;4;2
311330505000015;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.02977907;0;0.29923701;1;3;0;0;1;2;2;3;5;1;NA;NA;4;2
311330505000016;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.02939704;0;0.27647614;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
311330505000017;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.17281955;0;0.32982426;0.48212254;1;0;0;1;2;2;3;5;1;NA;NA;2;1
311330505000018;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.0992926;0;0.91155575;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330505000019;URBANO;Panorama;CARANGOLA;CARANGOLA;0.88239401;0.01171397;0;0.06136858;1;0;0;3;3;1;6;7;3;NA;NA;4;2
311330505000020;URBANO;Chevrand;CARANGOLA;CARANGOLA;0.32332699;0;0.16587097;0.2021723;2;0;0;1;3;2;4;6;2;NA;NA;4;2
311330505000021;URBANO;Chevrand;CARANGOLA;CARANGOLA;0.057919;0;0.4916416;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
311330505000022;URBANO;Ouro Verde;CARANGOLA;CARANGOLA;0.32553021;0;0.35081927;0.36754263;2;0;0;1;2;2;3;5;1;NA;NA;3;1
311330505000023;URBANO;Santo Onofre;CARANGOLA;CARANGOLA;0.03288925;0;1;1;1;0;0;1;2;3;3;6;2;NA;NA;3;1
